date,Year,Month,Day,PUN
2005-01-01,2005,1,1,21.138438291666667
2005-01-02,2005,1,2,33.27872504166667
2005-01-03,2005,1,3,61.31044525
2005-01-04,2005,1,4,60.12558504166667
2005-01-05,2005,1,5,59.09623083333333
2005-01-06,2005,1,6,32.88752641666667
2005-01-07,2005,1,7,53.30861470833334
2005-01-08,2005,1,8,40.8062145
2005-01-09,2005,1,9,41.102945958333336
2005-01-10,2005,1,10,80.26276816666666
2005-01-11,2005,1,11,86.909881625
2005-01-12,2005,1,12,84.249488
2005-01-13,2005,1,13,87.38706741666667
2005-01-14,2005,1,14,83.71428979166667
2005-01-15,2005,1,15,55.58702641666667
2005-01-16,2005,1,16,46.719945583333335
2005-01-17,2005,1,17,70.89052662499999
2005-01-18,2005,1,18,74.51660995833333
2005-01-19,2005,1,19,76.65403475
2005-01-20,2005,1,20,79.061142125
2005-01-21,2005,1,21,74.526694875
2005-01-22,2005,1,22,50.09158829166667
2005-01-23,2005,1,23,39.24268204166667
2005-01-24,2005,1,24,65.27314825
2005-01-25,2005,1,25,66.603306625
2005-01-26,2005,1,26,70.4281915
2005-01-27,2005,1,27,70.11199033333334
2005-01-28,2005,1,28,69.21355141666666
2005-01-29,2005,1,29,49.991103125
2005-01-30,2005,1,30,42.670986
2005-01-31,2005,1,31,64.68644470833333
2005-02-01,2005,2,1,66.54464958333334
2005-02-02,2005,2,2,67.4032425
2005-02-03,2005,2,3,67.47307891666667
2005-02-04,2005,2,4,64.49878645833333
2005-02-05,2005,2,5,47.82649479166667
2005-02-06,2005,2,6,39.62474654166667
2005-02-07,2005,2,7,59.341098208333335
2005-02-08,2005,2,8,66.38108654166666
2005-02-09,2005,2,9,67.02012220833333
2005-02-10,2005,2,10,67.264182
2005-02-11,2005,2,11,66.72335179166667
2005-02-12,2005,2,12,44.31726179166667
2005-02-13,2005,2,13,40.300105875
2005-02-14,2005,2,14,64.27856062500001
2005-02-15,2005,2,15,67.18638320833334
2005-02-16,2005,2,16,67.23314004166667
2005-02-17,2005,2,17,67.62151233333334
2005-02-18,2005,2,18,67.76213575
2005-02-19,2005,2,19,47.15973283333334
2005-02-20,2005,2,20,36.138814458333336
2005-02-21,2005,2,21,64.03393620833333
2005-02-22,2005,2,22,68.01765416666667
2005-02-23,2005,2,23,68.17120929166667
2005-02-24,2005,2,24,68.14518429166667
2005-02-25,2005,2,25,68.29426983333333
2005-02-26,2005,2,26,47.08998525
2005-02-27,2005,2,27,39.64656920833333
2005-02-28,2005,2,28,68.14808345833333
2005-03-01,2005,3,1,68.26433995833334
2005-03-02,2005,3,2,67.63730233333334
2005-03-03,2005,3,3,68.23807920833333
2005-03-04,2005,3,4,68.12658920833334
2005-03-05,2005,3,5,48.10390425
2005-03-06,2005,3,6,40.185572
2005-03-07,2005,3,7,66.13278216666667
2005-03-08,2005,3,8,68.53470558333333
2005-03-09,2005,3,9,68.39079020833333
2005-03-10,2005,3,10,68.7480475
2005-03-11,2005,3,11,68.44521295833333
2005-03-12,2005,3,12,45.93408445833333
2005-03-13,2005,3,13,34.39683720833333
2005-03-14,2005,3,14,62.966160458333334
2005-03-15,2005,3,15,66.44309491666667
2005-03-16,2005,3,16,66.72568758333334
2005-03-17,2005,3,17,66.85513679166667
2005-03-18,2005,3,18,66.06029841666667
2005-03-19,2005,3,19,44.47591283333333
2005-03-20,2005,3,20,36.187106541666665
2005-03-21,2005,3,21,57.70478975
2005-03-22,2005,3,22,59.445505708333336
2005-03-23,2005,3,23,58.95603766666667
2005-03-24,2005,3,24,59.157438166666665
2005-03-25,2005,3,25,58.855076624999995
2005-03-26,2005,3,26,40.2920985
2005-03-27,2005,3,27,31.679772304347825
2005-03-28,2005,3,28,32.56695545833333
2005-03-29,2005,3,29,54.16096425
2005-03-30,2005,3,30,56.263923
2005-03-31,2005,3,31,53.160281041666664
2005-04-01,2005,4,1,53.65379875
2005-04-02,2005,4,2,44.273382500000004
2005-04-03,2005,4,3,33.30914404166667
2005-04-04,2005,4,4,52.634920375
2005-04-05,2005,4,5,53.937673499999995
2005-04-06,2005,4,6,55.14007070833333
2005-04-07,2005,4,7,55.112884666666666
2005-04-08,2005,4,8,54.455187375
2005-04-09,2005,4,9,45.02459025
2005-04-10,2005,4,10,35.34173283333333
2005-04-11,2005,4,11,55.44296766666667
2005-04-12,2005,4,12,54.448601375
2005-04-13,2005,4,13,54.42970604166667
2005-04-14,2005,4,14,54.310939708333336
2005-04-15,2005,4,15,54.50605745833334
2005-04-16,2005,4,16,42.001748875
2005-04-17,2005,4,17,34.167759875
2005-04-18,2005,4,18,52.38871954166667
2005-04-19,2005,4,19,55.796946125
2005-04-20,2005,4,20,52.82895129166667
2005-04-21,2005,4,21,54.092493499999996
2005-04-22,2005,4,22,53.762628125
2005-04-23,2005,4,23,45.47649358333334
2005-04-24,2005,4,24,35.202655791666665
2005-04-25,2005,4,25,31.168039791666665
2005-04-26,2005,4,26,49.74003208333333
2005-04-27,2005,4,27,48.924709
2005-04-28,2005,4,28,53.104623625
2005-04-29,2005,4,29,54.736253833333336
2005-04-30,2005,4,30,44.425271208333335
2005-05-01,2005,5,1,28.947154416666667
2005-05-02,2005,5,2,49.75080366666667
